timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-08-08T22:31:08.190Z,ETHUSDT,SELL,1920.63,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 107 real prior losses vs 26 wins on bearish-cross-9/21-5m (net -38.38%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.1063
2026-08-09T02:45:29.107Z,SOLUSDT,BUY,75.90,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 96 real prior losses vs 21 wins on bullish-cross-9/21-5m (net -33.43%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.1946
2026-08-09T03:15:44.102Z,SOLUSDT,SELL,75.79,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 95 real prior losses vs 25 wins on bearish-cross-9/21-5m (net -25.90%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.7090
2026-08-09T03:40:57.924Z,SOLUSDT,BUY,76.04,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 96 real prior losses vs 21 wins on bullish-cross-9/21-5m (net -33.43%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3132
2026-08-09T04:16:16.273Z,BTCUSDT,BUY,64816.85,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 108 real prior losses vs 18 wins on bullish-cross-9/21-5m (net -37.07%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3471
2026-08-09T04:21:18.923Z,ETHUSDT,BUY,1914.54,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 100 real prior losses vs 23 wins on bullish-cross-9/21-5m (net -37.17%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.2927
2026-08-09T05:43:27.893Z,ETHUSDT,BUY,1914.26,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 101 real prior losses vs 23 wins on bullish-cross-9/21-5m (net -37.46%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.1172
2026-08-09T06:18:45.691Z,BTCUSDT,BUY,64815.45,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 109 real prior losses vs 18 wins on bullish-cross-9/21-5m (net -37.42%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.2412
2026-08-09T06:28:50.969Z,SOLUSDT,BUY,76.18,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 98 real prior losses vs 21 wins on bullish-cross-9/21-5m (net -33.94%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.0768
2026-08-09T08:01:20.469Z,ETHUSDT,SELL,1918.97,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 108 real prior losses vs 26 wins on bearish-cross-9/21-5m (net -38.49%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.1421
2026-08-09T08:01:20.701Z,SOLUSDT,SELL,76.36,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 96 real prior losses vs 25 wins on bearish-cross-9/21-5m (net -26.60%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.2476
2026-08-09T08:06:23.170Z,ETHUSDT,BUY,1924.20,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 102 real prior losses vs 23 wins on bullish-cross-9/21-5m (net -37.58%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.7017
2026-08-09T08:16:28.061Z,BTCUSDT,BUY,64922.67,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 110 real prior losses vs 18 wins on bullish-cross-9/21-5m (net -37.66%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.4517
2026-08-09T08:26:33.435Z,SOLUSDT,BUY,76.38,0,"[bullish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 99 real prior losses vs 21 wins on bullish-cross-9/21-5m (net -34.01%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.3916
2026-08-09T08:56:48.928Z,SOLUSDT,SELL,76.28,0,"[bearish-cross-9/21-5m] Memory blocked this entry (counterfactual): Ledger shows 96 real prior losses vs 25 wins on bearish-cross-9/21-5m (net -26.60%) and learnings.md warns about it — this signal repeats a known bad trade, so SKIP.",scan-filtered,loss,-0.5229
