run_at,source,command,symbol,interval,strategy,params,window_start,window_end,setups,wins,losses,win_rate_pct,profit_factor,total_pnl_pct,avg_pnl_pct,max_dd_pct,fee_bps,notes
2026-07-15T16:24:31.622Z,local-replay,replay:raw,ETHUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":true,""memoryFilter"":false}",2023-11-12T02:24:00Z,2026-07-14T23:59:59.999Z,38,17,21,44.7368,1.3285,110.4435,2.9064,217.4009,30,"2 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:33.625Z,local-replay,replay:raw,SOLUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":false,""memoryFilter"":false}",2020-08-11T23:59:59.999Z,2024-10-04T02:24:00Z,98,55,43,56.1224,1.3388,484.7721,4.9467,217.7608,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:35.581Z,local-replay,replay:raw,SOLUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":false,""memoryFilter"":false}",2024-10-04T02:24:00Z,2026-07-14T23:59:59.999Z,49,23,26,46.9388,1.1076,37.0439,0.756,44.715,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:37.937Z,local-replay,replay:raw,SOLUSDT,1d,sma-cross,"{""fast"":1,""slow"":100,""horizon"":28,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2020-08-11T23:59:59.999Z,2024-10-04T02:24:00Z,70,34,36,48.5714,1.1276,134.7689,1.9253,195.5045,30,"4 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:39.992Z,local-replay,replay:raw,SOLUSDT,1d,sma-cross,"{""fast"":1,""slow"":100,""horizon"":28,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2024-10-04T02:24:00Z,2026-07-14T23:59:59.999Z,34,16,18,47.0588,0.9995,-0.1587,-0.0047,78.4604,30,"2 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:42.174Z,local-replay,replay:raw,SOLUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":true,""memoryFilter"":false}",2020-08-11T23:59:59.999Z,2024-10-04T02:24:00Z,49,25,24,51.0204,2.7205,876.5251,17.8883,215.1338,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:44.167Z,local-replay,replay:raw,SOLUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":true,""memoryFilter"":false}",2024-10-04T02:24:00Z,2026-07-14T23:59:59.999Z,24,9,15,37.5,0.5969,-84.7845,-3.5327,134.9106,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:46.379Z,local-replay,replay:raw,BTCUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":false,""memoryFilter"":false}",2023-11-12T02:24:00Z,2026-07-14T23:59:59.999Z,95,48,47,50.5263,1.0381,18.1109,0.1906,61.4005,10,"4 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:48.658Z,local-replay,replay:raw,BTCUSDT,1d,sma-cross,"{""fast"":1,""slow"":100,""horizon"":28,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2023-11-12T02:24:00Z,2026-07-14T23:59:59.999Z,41,22,19,53.6585,1.2315,39.9701,0.9749,40.2862,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:50.931Z,local-replay,replay:raw,BTCUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":true,""memoryFilter"":false}",2023-11-12T02:24:00Z,2026-07-14T23:59:59.999Z,47,26,21,55.3191,1.5854,107.405,2.2852,98.9901,10,"2 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:55:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:ETHUSDT,1d,tsmom-pine,"{""lookback"":28,""hold"":28,""longOnly"":true,""window"":""in-sample""}",2017-08-17,2023-11-12T02:24Z,96,35,61,36.46,2.3171,51.735,,6.486,30,Trial 04 TV confirmation ETH v3; position-based semantics (flip entries + 28-bar time exit); net% on 100k equity
2026-07-15T16:56:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:ETHUSDT,1d,tsmom-pine,"{""lookback"":28,""hold"":28,""longOnly"":true,""window"":""out-of-sample""}",2023-11-12T02:24Z,2026-07-15T16:56Z,39,13,26,33.33,1.6726,8.3407,,4.425,30,Trial 04 TV confirmation ETH v3 OOS — PASSES (PF 1.67) while buy-and-hold lost over the same window
2026-07-15T16:57:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:SOLUSDT,1d,tsmom-pine,"{""lookback"":28,""hold"":28,""longOnly"":false,""window"":""in-sample""}",2020-08-11,2024-10-04T02:24Z,99,42,57,42.42,2.4973,91.5645,,9.156,30,Trial 04 TV confirmation SOL v1; net% on 100k equity
2026-07-15T16:58:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:SOLUSDT,1d,tsmom-pine,"{""lookback"":28,""hold"":28,""longOnly"":false,""window"":""out-of-sample""}",2024-10-04T02:24Z,2026-07-15T16:58Z,49,20,29,40.82,1.1133,1.7848,,4.667,30,Trial 04 TV confirmation SOL v1 OOS — marginal pass (PF 1.11; Sharpe ≈ 0) while buy-and-hold lost ~64%
2026-07-15T16:50:52.940Z,local-replay,replay:raw,BNBUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":true,""memoryFilter"":false}",2017-11-06T23:59:59.999Z,2023-12-06T09:36:00Z,90,45,45,50,2.2739,654.1856,7.2687,244.546,30,"1 incomplete setups excluded; per-setup study, non-compounding"
